Bus77,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus78,244.221703,-0.535016,249.715179,3.654768,247.409087,1.568213
Bus79,240.910570,-0.535982,248.139545,3.656244,243.460300,1.573058
Bus80,240.952948,-0.534335,248.933316,3.653249,245.562384,1.572663
Bus81,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus82,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus83,244.221714,-0.535016,249.714162,3.654769,247.409090,1.568213
Bus84,240.941038,-0.536077,248.105339,3.656419,243.367173,1.573034
Bus85,240.952948,-0.534335,248.933316,3.653249,245.562384,1.572663
Bus86,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus87,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus88,241.002830,-0.536267,248.035998,3.656773,243.178327,1.572985
Bus89,240.952948,-0.534335,248.933316,3.653249,245.562384,1.572663
Bus90,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus91,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus92,241.061111,-0.536447,247.970634,3.657108,243.000237,1.572939
Bus93,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus94,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus95,241.094989,-0.536552,247.932655,3.657302,242.896724,1.572912
Bus96,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus97,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus98,241.117365,-0.536621,247.907578,3.657431,242.828362,1.572894
Bus99,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus100,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus101,241.148261,-0.536716,247.872960,3.657608,242.733973,1.572870
Bus102,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus103,247.497221,-0.535688,250.511239,3.656271,249.263520,1.563829
Bus104,241.148262,-0.536716,247.872936,3.657608,242.733951,1.572870
Bus105,241.168654,-0.536779,247.850230,3.657725,242.671766,1.572853
Bus106,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus107,241.148263,-0.536716,247.872906,3.657608,242.733923,1.572870
Bus108,241.180218,-0.536814,247.837343,3.657791,242.636492,1.572844
